title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Monty Python's Life of Brian,movie,Comedy,1979,tt0079470,8,429272
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,tt0322259,5.9,311071
Big Fish,movie,"Adventure, Drama, Fantasy",2003,tt0319061,8,469755
Silent Hill,movie,"Horror, Mystery",2006,tt0384537,6.5,253115
The Da Vinci Code,movie,"Mystery, Thriller",2006,tt0382625,6.6,473620
The Conversation,movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,131306
The Terminal,movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,515023
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1342040
City of God,movie,"Crime, Drama",2002,tt0317248,8.6,839479
Full Metal Jacket,movie,"Drama, War",1987,tt0093058,8.2,824002
The Matrix,movie,"Action, Sci-Fi",1999,tt0133093,8.7,2161047
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,tt0234215,7.2,652967
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,tt0242653,6.7,561557
Men in Black,movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,641306
Men in Black II,movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,419550
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247501
Wild Strawberries,movie,"Drama, Romance",1957,tt0050986,8.1,120890
The Passion of the Christ,movie,Drama,2004,tt0335345,7.2,263674
The Last Samurai,movie,"Action, Drama",2003,tt0325710,7.8,490079
Wild Things,movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136607
The Bodyguard,movie,"Drama, Music, Romance",1992,tt0103855,6.4,154226
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,471411
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,315357
The Ninth Gate,movie,"Mystery, Thriller",1999,tt0142688,6.7,204811
Easy Rider,movie,"Adventure, Drama",1969,tt0064276,7.2,120730
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,363524
The Usual Suspects,movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1192465
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,278515
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,780482
Boyz n the Hood,movie,"Crime, Drama",1991,tt0101507,7.8,162600
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,594658
Saw IV,movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,171606
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,244698
Central Station,movie,Drama,1998,tt0140888,8,48053
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,681516
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,906548
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,731162
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,731081
