title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Ronny Chieng: Love to Hate It,movie,Comedy,2024,tt34344071,7.10,1190.00
Ronny Chieng: Love to Hate It,movie, Documentary,2024,tt34344071,7.10,1190.00
Biggest Heist Ever,movie,Biography,2024,tt18224682,6.10,1523.00
Biggest Heist Ever,movie, Crime,2024,tt18224682,6.10,1523.00
Biggest Heist Ever,movie, Documentary,2024,tt18224682,6.10,1523.00
Tegkang,movie,Drama,2024,tt34245046,7.40,43.00
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,movie,Animation,2021,tt21599874,7.00,227.00
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,movie, Comedy,2021,tt21599874,7.00,227.00
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,movie, Romance,2021,tt21599874,7.00,227.00
Erdal ile Ece 2,movie,Comedy,2024,tt34927354,4.80,882.00
The Most Beautiful Girl in the World,movie,Comedy,2025,tt34749630,6.10,830.00
The Most Beautiful Girl in the World,movie, Romance,2025,tt34749630,6.10,830.00
Making the Helicopter Heist,movie,Documentary,2024,tt34766467,6.80,12.00
Making the Helicopter Heist,movie, Short,2024,tt34766467,6.80,12.00
Umjolo: Day Ones,movie,Drama,2024,tt34619564,4.10,161.00
Umjolo: Day Ones,movie, Romance,2024,tt34619564,4.10,161.00
Avicii - My Last Show,movie,Music,2024,tt34619547,7.20,659.00
Avicii - My Last Show,movie, Short,2024,tt34619547,7.20,659.00
Michelle Buteau: A Buteau-ful Mind at Radio City Music Hall,movie,Comedy,2024,tt34379477,5.50,390.00
Michelle Buteau: A Buteau-ful Mind at Radio City Music Hall,movie, Documentary,2024,tt34379477,5.50,390.00
Exodus,movie,Drama,2015,tt5135618,5.90,10.00
Exodus,movie, Family,2015,tt5135618,5.90,10.00
Exodus,movie, Short,2015,tt5135618,5.90,10.00
The Love Scam,movie,Comedy,2025,tt34896285,6.10,1456.00
The Love Scam,movie, Romance,2025,tt34896285,6.10,1456.00
Wham!: Last Christmas Unwrapped,movie,Documentary,2024,tt34352717,7.10,334.00
Wham!: Last Christmas Unwrapped,movie, Music,2024,tt34352717,7.10,334.00
The Braid of Time,movie,Adventure,2021,tt15260300,5.00,71.00
The Braid of Time,movie, Short,2021,tt15260300,5.00,71.00
Ostinato,movie,Animation,2023,tt29874855,5.80,446.00
Ostinato,movie, Short,2023,tt29874855,5.80,446.00
Autaneli Ardadegebi,movie,Family,2015,tt5570018,6.40,14.00
Khoroshie devochki,movie,Drama,2024,tt33096465,8.20,6.00
Khoroshie devochki,movie, Mystery,2024,tt33096465,8.20,6.00
Khoroshie devochki,movie, Thriller,2024,tt33096465,8.20,6.00
Na plech,movie,Comedy,2025,tt34483589,6.60,300.00
Na plech,movie, Crime,2025,tt34483589,6.60,300.00
December 31st Express,movie,Comedy,2024,tt34780254,6.70,329.00
RRR: Behind & Beyond,movie,Documentary,2024,tt35078960,8.10,345.00
Zbory OSBB,movie,Comedy,2024,tt35046749,6.90,554.00
Don't Die: The Man Who Wants to Live Forever,movie,Documentary,2025,tt34977130,6.10,3963.00
Torching 2024: A Roast of the Year,movie,Comedy,2024,tt34909701,5.40,788.00
"Umjolo: My Beginnings, My End!",movie,Comedy,2025,tt34961246,5.00,124.00
"Umjolo: My Beginnings, My End!",movie, Drama,2025,tt34961246,5.00,124.00
"Umjolo: My Beginnings, My End!",movie, Romance,2025,tt34961246,5.00,124.00
Gabriel Iglesias: Legend of Fluffy,movie,Comedy,2025,tt34981200,6.60,979.00
Ari Shaffir: America's Sweetheart,movie,Comedy,2025,tt34753871,7.00,536.00
Ari Shaffir: America's Sweetheart,movie, Documentary,2025,tt34753871,7.00,536.00
Demon City,movie,Action,2025,tt35111035,5.40,4856.00
Demon City,movie, Adventure,2025,tt35111035,5.40,4856.00
Demon City,movie, Crime,2025,tt35111035,5.40,4856.00
